"","date","text","doc_id"
"11",2023-11-07,"⚡️⚡️Как всё ускорилось…

Один из первых шагов цветных революций - внушить правителю, что он уже проиграл🧩

Лёха красиво ставит Зе на очередную растяжку. Всем понятно, что время для «демонстрации единства» давно прошло.

Теперь Арестович выждет пару дней и заявит, что встречи не было, а значит Зе не внял советам работать на страну вместе с Залужным. А вывод будет: Зе идёт против армии, вот посмотрите😉

Таким не хитрым способом события происходящие за кулисами достаются на обозрение общественности☝️",11
"12",2023-11-07,"⚡️🇺🇦⚡️ Банковая «захватила» цель. 

Марьяна Безуглая требует отменить защиту диссертации Залужного, потому что 

А) у Кивалова; 
Б) Залужный просто не мог иметь время на статьи в 2022.

На самом деле идёт комплексная программа дискредитации Залужного с задачей последующего смещения. Очень важно вначале дискредитировать его☝🏻",12
"13",2023-11-07,"🤷 Ермак заявил, что РФ сейчас применяет в Украине ""тактику раскола"".

Андрей Борисович дипломатично не упоминает основные линии раскола: 

✅ Языковой вопрос
✅ Церковный вопрос 
✅ Раскол на мобилизованных и мобилизуемых
✅ выехавшие/не выехавшие и т.д. 

Коварная Россия, но хорошо, что Банковая гасит все эти проблемы и строит страну, где все равны ☝🏻",13
"14",2023-11-07,"Пошла отработка отмены выборов. 

Избранный во время войны президент вряд ли будет легитимным. Об этом заявил представитель Зеленского в Верховной Раде Фёдор Вениславский. 

Ну, во-первых до этого власть говорила, что прорабатывает разные варианты решения этого вопроса. 

А во-вторых, у нас легитимным считался даже избранные в третьем туре в обход Конституции и законов Ющенко.

Так что реальная причина не в этом.",14
"15",2023-11-07,"⚡️⚡️⚡️#Инсайд 
Наши источники в окружение Залужного уверены в том, что Геннадия Частякова подорвали наши спецслужбы через контролируемый взрыв гранаты. Никто из окружения Главкома не верит в версию МВД, которая делает из погибшего помощника Залужного любителя страйкбола, а он был профессионал высшего уровня.

://./_/20402",15
"16",2023-11-07,"🇺🇸 Трамп отрывается на праймериз от конкурентов ‼️",16
"17",2023-11-06,"🇺🇸⚡️🇺🇦 Трамп и Зе 

Трамп: «Я с большим уважением отношусь к президенту Зеленскому, но считаю, что было бы некстати ехать в Украину в это время. Сейчас с ним ведет дело администрация Байдена, и я не хотел бы создавать конфликт интересов». 

Другими словами Трамп не собирается делить негатив от Зе с Байденом. Зеленский должен быть полностью проблемой демократов☝🏻",17
"18",2023-11-06,"⚡️⚡️Официально о гибели помощника Залужного от главы МВД: игрался с гранатой нового образца, дал подержать 13 летнему сыну🤷",18
"19",2023-11-06,"🧩🇺🇦🧩 Выборов не будет 

Днём комитет ВР поддержал продление ВП, а вечером Зе открыто сказал, выборов не будет☝🏻

Ставки сделаны, ставок больше нет. 

Завтра все прогнозы и расклады дадим.",19
"20",2023-11-06,"🧩 А днем Залужный лайкнул пост опального Арестовича",20
"21",2023-11-06,"🧩🧩 У Сталина было два верных подчиненных: Власик и Поскребышев. 

Одни из них (не помню кто именно) сказал, что до «хозяина» (так называли Сталина) доберутся, когда их обоих отодвинут. 

Через пару месяцев после того, как оба были переведены под разными предлогами, Сталин умер. 

Залужный лишился Хоренко и Честякова за три дня☝🏻

Поэтому мы написали, что политика активизируется. 

Мало кто поверит, что произошедшие потери через 3 дня после статьи Залужного  - совпадение, даже если совпадение ‼️",22
"22",2023-11-06,"⚡⚡️⚡️Залужный заявил, что его помощника взорвали. 

В одном из подарков находилось взрывное устройство. 

Украинская политика активизируется.",23
"23",2023-11-06,"⚡️⚡️Под Киевом у себя дома от взрыва гранаты погиб помощник Залужного — МВД.

Его 13-летний сын тяжело ранен, его госпитализировали.

Погибший - Геннадий Честяков",24
"24",2023-11-06,"🔥 А вот и момент прилета двух прорвавшихся ракет по кораблю",25
"25",2023-11-06,"⚡️ Фото, как утверждается, корабля «Аскольд» после недавнего удара по Керчи",26
"26",2023-11-06,"📩 Здравствуйте, уважаемые. Спасибо Вам за аналитику и трезвый взгляд на вещи. Нужен Ваш совет. Стоит ли сейчас покупать квартиру в Харькове? Какие Ваши прогнозы, прежде всего в плане военных действия?  Понимаю что есть риск прилёта, но сейчас вроде как цены упали. Социально-экономические прогнозы я так думаю не радужные. Или лучше вообще приберечь эти деньги для устройства за границей при первой же возможности? (Сейчас платить 10+ тыс. баксов как то не хочется, есть где пересидеть мобилизацию). Спасибо.

Военный риск для Харькова невысокий. Регион не в приоритете сторон войны. 

Далее пойдём от общего к частному. 

Харьков будет в Украине, а Украина в Европейском макрорегионе. Европа и так себя неважно чувствовала: долговая нагрузка, удорожание сырья и так далее вели к рецессии, о которой открыто пишут уже все эксперты. К этому букету проблем, очень вероятно, добавится конфликт с мусульманами, незавидная перспектива в рамках региона. 

Украина - беднейшая страна региона, у которой из активов остались: земля, советские АЭС и люди. За время войны безвозвратно потеряна демография, десуверенизированы финансы страны, экономику придётся восстанавливать с нуля. 

Теперь Харьков. Главные сильные стороны Харькова были: наука (сами понимаете), образование (читайте раздел демография), промышленность (в котором риски инвестирования будут всегда выше), торговля (логистический тупик с РФ). 

Это если коротко описать общие тенденции.",27
"27",2023-11-06,"🤦‍♂️ ДБ

Подписчики подсказали, что на картине для Киевской строительной мафии изображен Кафедральный собор Успения Пресвятой Богородицы города Омска☝🏻

Даже не знаю, кого бОльшими дебилами считать: тех кто этот шедевр сделал или тех, безусловно, очень «набожных» строителей, которые даже не поняли на фоне каких Храмов их изобразили ‼️",28
"28",2023-11-06,"🇪🇺⚡️🇺🇦 Экс-президент Европейской Комиссии Жан-Клод Юнкер:  «Украина — это коррумпированная на всех уровнях общества страна. Это знает любой, кто имел с ней дело».

Глава ОП Ермак сказал: «Я категорически отвергаю утверждение, что Украина очень коррумпирована». 

Согласны. «Очень» не подходящая оценка, «тотально» - так ближе. 

Похоже, европейцы поняли, что им будут предлагать в рамках мирного плана и начинают противиться этому☝🏻",30
"29",2023-11-06,"💰💰   про конфискацию активов у России: «это может дестабилизировать глобальную финансовую систему и подорвать роль доллара и евро в мире. Альтернативным местом размещения резервов для многих стран может стать Китай».

При этом никаких непреодолимых юридических препятствий для конфискации - нет, добавляет газета.

Во-первых, мы это написали слово в слово ещё в начале апреля. 

Во-вторых, если начали это на западе озвучивать, значит необходимо убедить граждан в контрпродуктивности конфискации☝🏻",31
"30",2023-11-06,"💰💰 Занимательное видео о том, как американская экономика из промышленного качка под управлением глобалистов превратилась в толстый фондовый пузырь. 

Фундаментально Маркс оказался прав: деньги начали делать деньги максимально быстро и примитивно.

Поэтому на 20% мирового ВВП приходится 60% фондовых бумаг🤷

А если ещё пересчитать без большого ВВП обмана в штуках, то всё ещё хуже ☝🏻",32
"31",2023-11-06,"Вашингтон хочет представить прекращение украинского конфликта как инициативу Киева 

Профессор Бард-колледжа Уолтер Мид выразил в газете   свое мнение, что стратегия Джо Байдена будет заключаться в том, чтобы продолжать оказывать помощь до тех пор, пока Владимир Зеленский не решит, что пришло время вести переговоры.",33
"32",2023-11-06,"😎 Утро понедельника начнем с позитива от подписчика ‼️",34
"33",2023-11-05,"🇺🇦🎥🇺🇦 Хоренко 

ССО ВСУ выложили ролик «7 тезисов Боевого генерала Хоренко». Ролик явно ностальгический. Тезисы также можно понять двояко. 

Например: ""Есть много хороших руководителей в кабинетах. Но войсками из кабинетов не командуют. Не командуют без опыта"". Явный намек на гражданского Министра обороны Украины Рустема Умерова, который  написал представление на снятие Хоренко. 

Ну а последний тезис про «охоту в одиночку на врагов, которые всегда есть», явно не понравится Ермаку и Зе☝🏻

Процесс настройки армии против Президента и его команды запущен 🧩",35
"34",2023-11-05,"🇺🇸⚡️🇮🇷 Блинкен и Иран 

Очень уставший Блинкен: «Не атакуйте наши базы на Ближнем Востоке. Мы не ищем конфликта с Ираном, однако, сделаем всё, чтобы защитить наших людей». 

Видно, что ему тяжело. Устал. 

С одной стороны Иран, арабы, мусульманская диаспора США, ЕС, а с другой Израиль, Республиканцы и глобализм ☝🏻

Сложный выбор.",36
"35",2023-11-05,"🔥 Одесса. 

На первом видео нештатная работа ракеты ПВО Сегодня в Одессе

На втором очень похожий по траектории прилёт + по разрушениям понятно, что это не Искандер или калибр, а что-то явно с меньше поражающей частью. Поэтому скорее всего оно.

Ну и статья о том, что ракетный комплекс 1959 года разработки  станет на боевое дежурство.

Вообще не удивительно, что ракеты, которым 70 лет падают на город, у всех есть % нештатной работы (сегодня даже от железного купола упала ракета), но у старого барахла, которое в кредит дают Украине этот % бОльший.",39
"36",2023-11-05,"⚡️🇺🇦⚡️ Выборы в марте 

Заявление Гончаренко о том, что Зеленский дал команду проводить выборы президента 31 марта - не инсайд, а растяжка для Президента. 

Дело в том, что игра идёт следующая: Запад давит на Зе, требуя выборы, а тот делает вид, что готовится к ним, запуская через ЛОМов полит дебаты и разные слухи. Мы об этом писали много. 

В реальности Зе уже нельзя идти ни на какие выборы. Поэтому вся эта активность - имитация. 

Теперь Гончаренко заявляет конкретную дату, и Офису надо либо подтвердить её публично (но этого делать нельзя), либо опровергнуть, что очень расстроит США. 

Красивая растяжка для Банковой. Поэтому скорее всего будут молчать и отшучиваться☝🏻",40
"37",2023-11-05,"Трэш продолжается:

- 100 тысяч платят единицам;

- ищут алкоголь в крови, чтобы отказать в выплате 15 миллионов родственникам 200х

- «прикомандированных» не обеспечивают НИЧЕМ",41
"38",2023-11-05,"🔥 В Одессе после нескольких прилетов сработала сирена. 

Уже второй раз подряд, тревога не успевает за обстрелом. 

В центре города огромная воронка.

ПС: нам пишу тревога успела. Исправляемся",43
"39",2023-11-05,"🔥 ВСУ нанесли удар по поселку Седово, который за Мариуполем. 

По первой информации попали в склад БК.",44
"40",2023-11-05,"План ЕС по восстановлению конкурентоспособности

ЕС столкнулся с сильнейшим кризисом с 2012 года. Кризис с проблемами суверенных долгов стран Европейский союз успешно решил. Но появились следующие.

  пишет о потере объединением конкурентоспособности. Ковид, война в Украине и энергетический кризис ей вызванный, привели к ослабеванию ЕС на фоне конкурентов:

""Цифры в заголовках впечатляют. Экономика ЕС в долларовом выражении составляет 65 процентов от размера экономики США. Это меньше чем 91 процент в 2013 году. Валовый внутренний продукт США на душу населения более чем в два раза превышает ВВП ЕС, и разрыв увеличивается"".

Это, то о чём мы неоднократно писали. Всего за 10 лет Штаты уменьшили экономику конкурента по сравнению со своей на 28,5%☝️

Очень показателен тут период, начиная с 2013 года. А представьте что с 2013 года:

❌не было Евромайдана и Украина увеличивала торговлю с ЕС;
❌не было войны на Донбассе;
❌не было санкций против РФ за Крым и Донбасс, которыми ЕС сам перерезал поставки своей продукции в РФ;
❌не было необходимости у ЕС переходить на более дорогой СПГ;
❌не было СВО Большой войны;
❌не было новых санкций ЕС, обрушивших экспорт ЕС в РФ окончательно;
❌не было подрыва Северных потоков;
❌не было закрытий и сокращений в сталелитейной и химической промышленностях ЕС; 
❌не было переезда десятков производств из ЕС в США и Китай в погоне за дешёвой энергией...

Потеряла бы тогда так брутально экономика ЕС свою конкурентоспособность❓ Очевидно, что нет. 

Статья описывает как ЕС собирается её восстанавливать, сохранив свободный рынок и конкурируя с Китаем и Индией. Но, вероятно, поезд уже ушёл. Штаты успешно съели своего партнёра-конкурента ради пролонгации собственной роли в мире🤷‍♂️",45
"41",2023-11-05,"⚡️🇺🇦⚡️Концепция поменялась 

Министр обороны Украины Умеров утвердил концепцию развития военной кадровой политики Минобороны до 2028 года. 

Ключевые цели: 

✅ переход к службе по контракту (ок, только где деньги возьмём? );

✅ срочную военную службу заменят интенсивной военной подготовкой граждан призывного возраста (служить пойдут все мужчины); 

✅ рекрутинг вместо призыва (очередная лингвистическая реформа);

✅ равные условия для женщин и мужчин (женщины тоже пойдут);

✅ улучшенная система электронного учета (получат доступ ко всем базам, чтобы человек не мог спрятаться и откосить). 

Помните классика: арфы нет, давайте бубен. Так и тут: Абрамсов нет, давайте больше рекрутов",47
"42",2023-11-05,"🇮🇱⚡️🇵🇸 Израильские истребители нанесли удар по главному резервуару для воды в Таль-эз-Заатаре на севере сектора Газа.

В целом логика операции ЦАХАЛ понятна: выдавить как можно больше мирных жителей на юг сектора, сделав проживание на севере несовместимым с жизнью, и зачистить северную часть. 

После чего туда попробуют завести совместный контингент Западных войск. 

Такой вариант позволит:

✅ хоть как-то снизить дипломатическое давление на западных союзников Израиля;

✅ иметь аргументы против обвинений об оккупации северной части сектора Израилем; 

✅ значительно сократить линию соприкосновения с подконтрольной ХАМАСУ частью сектора, насытив её средствами обороны;

✅ убедить своих граждан, что ХАМАС и палестинцы понесли достаточный убыток за атаку 7 октября.

Помешать этому плану может множество факторов, учитывая что речь идёт о войне. Но даже если он полностью будет реализован, КНР и РФ никогда не пропустят это решение через Совбез ООН, а значит нахождение войск там будет незаконным, что позволит арабским странам постоянно аппелировать на этот счёт☝🏻",48
"43",2023-11-05,"Ещё два момента по удару

1) если бы в Украине работали суды нормально, системно выкорчевывая коррупцию и охраняя закон, то Лисюк сидел бы в тюрьме сейчас, а не руководил бригадой. А так у нас АТОшникам можно было всё, даже контрабандой заниматься. Порешали, отделался штрафом. Результат закономерный. 

2) Год назад такие построения ВС РФ пропускали, скрины в подтверждение. Сказывалась нехватка беспилотных средств разведки, а также долгие процедуры согласования удара. А теперь на практике видно, насколько они насытили орланами линию фронта, а также насколько у них сократилось время согласования.",52
"44",2023-11-05,"🔥 Удар по 128 бригаде 

РФ публикует кадры удара Искандером по месту награждения лучших артиллеристов бригады. 

Стороны ожидаемо разнятся в оценке потерь: 20-100 человек. В Закарпатье объявлен траур.

Командир 128 бригады Лисюк Дмитрий Сергеевич в 2019 году был осужден за контрабанду сигарет из ЛНР. Т.е. имел рабочие контакты с той стороной. 

Поэтому теперь контрразведка проводит особо тщательную проверку происшествия, учитывая что Лисюк лично на построение не приехал, но команду дал. Через 32 минуты после команды прилетел Искандер. 

Однако, Лисюка назначил Сырский, а значит СБУ придется работать осторожно. 

Дело с радостью бы замяли, но очень уж широкий резонанс вышел.",53
